StudyCategory,Subcategory,category,a_obs,a_price,b_obs,b_price,c_obs,c_price,d_obs,d_price,e_obs,e_price,other_obs,other_price
Pains industriels,Tous les pains industriels,en:breads,413,6.6823525,357,4.38,1516,5.3,426,7.97684,173,2.7,35,4.36
Pains industriels,Baguettes,en:baguettes,,,,,32,4.8,,,94,1.4,23,4.36
Pains industriels,Biscottes,en:rusks,81,7.7,,,164,8.535715,89,6.3333335,,,,
Pains industriels,Pains de mie,en:sliced-breads,116,4.123171,232,3.0821917,679,3.0,,,,,,
Pains industriels,Pains spéciaux,en:special-breads,17,7.08,26,6.6969695,203,6.361111,43,7.5087724,,,,
Céréales pour petit déjeuner,Toutes les céréales,en:breakfast-cereals,434,6.6266665,163,9.155556,624,7.7666664,378,7.275555,117,7.14,25,3.9
Céréales pour petit déjeuner,Céréales avec chocolat,en:chocolate-cereals,48,9.946667,61,9.111111,306,7.872222,236,7.7207794,109,7.112903,,
Céréales pour petit déjeuner,Pétales,en:cereal-flakes,145,4.3454547,13,7.4133334,37,5.76,29,5.6290326,,,15,3.5
Céréales pour petit déjeuner,Mueslis,en:mueslis,242,7.0,78,9.125556,220,8.6,77,7.706667,,,,
Céréales pour petit déjeuner,Céréales fourrées,en:filled-cereals,,,,,14,16.699999,106,7.6173778,60,7.7903223,,
Céréales pour petit déjeuner,Céréales avec du miel,en:cereals-with-honey,,,,,34,7.424243,,,,,,
Viennoiseries,Toutes viennoiseries,en:viennoiseries,12,6.8041234,11,5.6666665,181,5.8571424,728,5.9700894,339,9.333333,,
Viennoiseries,Brioches et gâches,en:brioches,,,,,103,6.6222224,491,5.98,223,10.133333,,
Gâteaux et biscuits,Gâteaux et biscuits sucrés,en:sweet-snacks,235,12.200001,323,27.8,891,11.56,4015,10.687831,15556,14.899999,299,32.857143
Laits et boissons lactées,Tous les laits,en:milks,,,1215,1.44,221,1.9700001,,,84,5.88,85,6.766667
Laits et boissons lactées,Laits fermentés,en:fermented-milk-drinks,,,45,4.9,78,6.333333,183,2.9499998,103,4.6,28,7.5369563
Laits et boissons lactées,Laits aromatisés,en:flavoured-milks,,,,,61,2.375,70,4.225,,,12,5.4900002
Laits et boissons lactées,Laits sans lactose,en:lactose-free-milk,,,92,2.3816667,,,,,,,,
Laits et boissons lactées,Autres laits (animal),en:cow-milks,,,167,1.78,33,1.3700001,,,,,,
Laits et boissons lactées,Alternatives végétales,en:milk-substitutes,,,677,1.77,504,2.295,291,2.59,385,4.85,,
Eaux aromatisées,Toutes les eaux arom.,en:flavored-waters,,,140,0.886,77,1.34,22,0.82,13,6.0937505,59,1.7878788
Boissons gazeuses,Boissons gazeuses / thé,en:carbonated-drinks,763,0.85333335,184,1.09,581,1.7272727,425,1.9090909,683,2.0833335,267,1.8030303
Jus,Tous les jus,en:juices-and-nectars,,,298,3.85,1170,2.55,313,3.0,330,2.8916667,86,2.7966666
